1000 square meter	mål(et)
under legal age	umyndig
understand[s]	innse[r]
undertake[s]	foreta[r]
undesired	uønsket
unexpectedly	uforvarende
unfaithful	utro
unhappy	ulykkelig
unit	enhet(en)
unknown	ukjent
unmarried	ugift
unmarried man	ungkar(en)
unsafe	usikker
unsure	usikker
until	til
unyielding	beinhard
up	opp
up bringing	oppdragelse(n)
upgrade	oppgradering(en)
upgrade[s]	oppgradere[r]
upon	på
upper	"øvre, øverste"
uppermost	øverst
upstairs	oppe
urge	drift(en)
is urgent	haster
us	oss
use	"bruk(en), nytte(n)"
use[s]	bruke[r]
use[s|d]	benytte[r|t]
used	"brukt, brukte"
used car	bruktbil(en)
useful	nyttig
user	bruker(en)
user's manual	bruksanvisning(en)
usual	vanlig
usually	vanligvis
vaccinate[s]	vaksinere[r]
vaccinated	vaksinert
vaccination	vaksinasjon(en)
vaccination register	vaksinasjonsprotokoll(en)
vaccine	vaksine(n)
vacuum cleaner	støvsuger(en)
vague	vag
valley	dal(en)
valuation	anslag(et)
valuation process	taksering(en)
valuation document	takst(en)
value	verdi(en)
value[s]	verdsette[r]
value[s]	taksere[r]
varied	forskjellig
various	"diverse, forskjellige"
variation	variasjon(en)
vary [varies]	variere[r]
vegetable garden	kjøkkenhage(en)
vegetable plot	kjøkkenhage(en)
vengance	hevn(en)
venture	foretaket(et)
verbal	muntlig
verdict	dom(men)
version	versjon(en)
very	"veldig, ordentlig, svært"
very ..	kjempe..
very enthusiastic	helfrelst
very nice	kjempefin
very old person	olding(en)
vessel	fartøy(et)
veterinarian	"veterinær(en), dyrlege(n)"
via	via
vicar	pastor(en)
victor	seier(en)
view	utsyn(et)
village	landsby(en)
villagers	bygdefolk(et)
vindictive	hevngjerrig
vintage	årgang(en)
violence	vold(en)
violent	voldsom
virgin	jomfru(en)
virtue	dyd(en)
virtuous	dydig
vision	synt(et)
visionary	vidsynt
visit	besøk(et)
visiting	besøkende
visitor	"besøkende, tilreisende"
voice	"stemme(n), mål(et)"
volume	volum(et)
volume	"bind(et), bok(en)"
voluntary	frivillig
volvulus	tarmslyng(en)
vote	stemme(n)
vote[s]	"stemme[r], votere[r]"
voted	stemt[e]
vowel	vokal(en)
voyage	sjøreise(n)
vulgar	platt
vultur	gribb(en)
waggle[s|d]	logre[r|t]
wagon	vogn(en)
wagon factory	vognfabrikk(en)
wagon maker	vognmaker(en)
waistcoat	vest(en)
wait[s|ed]	vente[r|t]
waiter	servitør(en)
wake[s]|woke	vekke[r|t]
walk[s|ed]	vandre[r|t]
walk[s]	gå[r]
walked	gikk
wall	vegg(en)
wallet	lommebok(en)
want[s|ed]	ønske[r|t]
wanted to	ville
was	var
war	krig(en)
war ship	orlogsskip(et)
warden	oppsynsmann(en)
warehouse	"lager(et), pakkhus(et)"
warehouse worker	"lagerarbeider(en), pakkhusarbeider(en)"
warm	"varm, lun"
warmth	varme(n)
warn[s]	advare[r]
warning	advarsel(en)
warned	advarte
wart	vorte(n)
wash[es|ed]	vaske[r|t]
wasteland	ødemark(en)
watch	ur(et)
watch-maker	urmaker(en)
water	vann(et)
water fall	foss(en)
water way	led(en)
watt	watt
wave[s|ed]	vinke[r|t]
way out	utvei(en)
we	vi
weak	"svak, mo"
weakness	svakhet(en)
weakness of old age	alderdomssvakhet(en)
wealth	rikdom(men)
weapon	våpen(et)
weasel	beltebil(en)
weather	vær(et)
weather forecast	værvarsling(en)
weaver	"vever(en), vevejente(n)"
weaving mill	veveri(et)
weaving mill worker	veveriarbeider(en)
wedding	bryllup(et)
wedding ceremony	vielse(n)
Wednesday	onsdag(en)
week	uke(n)
week day	hverdag(en)
weekend	helg(en)
weight	"tyngde(n), vekt(en), belastning(en)"
welcome	velkommen
welfare officer	sosialkurator(en)
well	"vel, bra"
well	brønn(en)
went	"gikk, reiste"
were	var
west	vest
western	vestre
wet	"våt, blaut"
wet nurse	amme(n)
Whisky	whisky(en)
wharf	brygge(n)
what	hva
wheat	hvete(n)
wheat flour	hvetemel(et)
wheel	hjul(et)
wheel of fortune	lykkehjul(et)
wheelship	hjulbåt(en)
wheelwright	hjulmaker(en)
when	når
where	hvor
whether	hvorvidt
whey	myse(n)
which	hvilken
which	som
while	imens
white	hvit
white of an egg	eggehvite(n)
who	hvem
who	som
whole	hel
wholesaler	grossist(en)
whose	hvis
whooping cough	kikhoste(n)
why	hvorfor
wide	"bred, vid"
with	med
[withhold|withholds|withheld]	unndra[r|tt]
within	"innen, i"
width	bredde(n)
widow	enke(n)
widower	enkemann(en)
widowhood	enkestand(en)
wild	vill
wilderness	ødemark(en)
will	vil
will	vilje(n)
will	testamente(t)
willing	villig
willingly	gjerne
wife	"kone(n), frue(n), hustru(en), kjerring(a)"
wigmaker	parykkmaker(en)
winding	slyng(en)
window	vindu(et)
wine	vin(en)
winter	vinter(en)
wire	tråd(en)
wireless	trådløs
wireless operator	radiotelegrafist(en)
wisdom	visdom(en)
wise	vis
wish	ønske(t)
wish[es|ed]	ønske[r|t]
witch	heks(en)
witchcraft	trollskap(et)
with	"med, hos"
without	uten
without money	blakk
without obligation	uforpliktende
witness	vitne(t)
witness[es|ed]	vitne[r|t]
wolf	ulv(en)
woman	kvinne(en)
won	vant
wonder	under(et)
wonderful	"nydelig, herlig, flott"
wood	"tre(et), trevirke(t)"
wood grous	tiur(en)
woodshed	vedskjul(et)
woodwork	treverk(et)
woodworker	trearbeider(en)
wool	ull(et)
wool product	ullvare(n)
wool spinner	ullspinner(en)
word	ord(et)
word of honour	æresord(et)
work	"arbeid(et), jobb(en)"
art work	verk(et)
work[s|ed]	arbeide[r|t]
work[s|ed]	virke[r|t]
work sloppily	slurve[r|t]
worker	"arbeider(en), arbeidskar(en), arbeidsmann(en)"
worker at a mill	møllearbeider(en)
worker's wife	arbeiderkone(en)
works	verksted(et)
workshop	verksted(et)
world	verden(en)
worm	mark(en)
worried	engstelig
worry	engstelse(n)
[worry|worries|worried]	engste[r|t]
worthy	værdig
wound	sår(et)
wrestler	bryter(en)
wristlet	pulsvante(n)
write[s]	skrive[r]
writing	skrift(en)
written	skriftlig
wrong	galt
xenophobia	xenofobi(en)
yarn	garn(et)
year	år(et)
year	årgang(en)
this year	iår
yearly	årlig
yell	rope[r]
yellow	"gul, gult"
yes	ja
yesterday	igår
yesterday's	gårsdagens
yet	ennå
yield[s|ed]	yte[r|t]
"you {singular, subject}"	du
"you {polite, singular, subject}"	De
"you {singular, object}"	deg
"you {polite, singular, object}"	Dem
you {plural}	dere
young	ung
younger	yngre
youngest	"yngst, minst"
your	"din, dine"
yours	din
yours sincerely	vennlig hilsen
"yourself {polite, singular, object}"	Dem
youth	ungdom(men)
Zen	zen
zoo	dyrehage(n)
zone	sone(n)
